DATETIME,VOLUME,OPEN,CLOSE,MIN,MAX
04-11-2010 18:00:01,419,1.0129,1.0129,1.0124,1.0132
04-11-2010 18:01:01,311,1.013,1.0132,1.0123,1.0134
04-11-2010 18:02:01,328,1.0132,1.0132,1.0127,1.0135
04-11-2010 18:03:01,224,1.0132,1.0133,1.0127,1.0135
04-11-2010 18:04:01,168,1.0133,1.0132,1.0131,1.0135
04-11-2010 18:05:01,324,1.0132,1.0132,1.0128,1.0136
04-11-2010 18:06:01,255,1.0133,1.0133,1.0129,1.0135
04-11-2010 18:07:01,232,1.0133,1.0133,1.0127,1.0135
04-11-2010 18:08:01,250,1.0132,1.0131,1.0127,1.0134
04-11-2010 18:09:01,301,1.0131,1.0132,1.0126,1.0135
04-11-2010 18:10:01,221,1.0132,1.0132,1.0127,1.0134
04-11-2010 18:11:01,306,1.0132,1.0134,1.0128,1.0136
04-11-2010 18:12:01,231,1.0133,1.0138,1.0132,1.0139
04-11-2010 18:13:01,187,1.0138,1.0138,1.0132,1.0141
04-11-2010 18:14:01,205,1.0138,1.0135,1.0131,1.0141
04-11-2010 18:15:01,350,1.0137,1.0138,1.0131,1.014
04-11-2010 18:16:01,96,1.0138,1.0136,1.0132,1.014
04-11-2010 18:17:01,178,1.0136,1.0139,1.0131,1.0141
04-11-2010 18:18:01,235,1.0139,1.014,1.0136,1.0142
04-11-2010 18:19:01,270,1.0139,1.0139,1.0135,1.0142
04-11-2010 18:20:01,143,1.014,1.0141,1.0136,1.0143
04-11-2010 18:21:01,419,1.014,1.0142,1.0136,1.0144
04-11-2010 18:22:01,255,1.0142,1.014,1.0136,1.0144
04-11-2010 18:23:01,221,1.0141,1.0145,1.0138,1.0146
04-11-2010 18:24:01,191,1.0144,1.0144,1.0139,1.0146
04-11-2010 18:25:01,231,1.0144,1.0144,1.0139,1.0146
04-11-2010 18:26:01,186,1.0145,1.0145,1.0139,1.0146
04-11-2010 18:27:01,363,1.0144,1.0148,1.014,1.0151
04-11-2010 18:28:01,231,1.0148,1.0148,1.0144,1.0151
04-11-2010 18:29:01,227,1.0148,1.0147,1.0146,1.0152
04-11-2010 18:30:01,296,1.0146,1.015,1.0145,1.0152
04-11-2010 18:31:01,202,1.015,1.0151,1.0147,1.0152
04-11-2010 18:32:01,189,1.0151,1.015,1.0145,1.0152
04-11-2010 18:33:01,95,1.0151,1.015,1.0146,1.0152
04-11-2010 18:34:01,250,1.015,1.015,1.0146,1.0153
04-11-2010 18:35:01,168,1.015,1.0149,1.0144,1.0152
04-11-2010 18:36:01,135,1.0148,1.0151,1.0145,1.0152
04-11-2010 18:37:01,216,1.015,1.0151,1.0146,1.0153
04-11-2010 18:38:01,213,1.0152,1.0152,1.0147,1.0153
04-11-2010 18:39:01,239,1.0152,1.0156,1.0148,1.0158
04-11-2010 18:40:01,288,1.0157,1.0154,1.0151,1.0158
04-11-2010 18:41:01,168,1.0155,1.0154,1.0149,1.0157
04-11-2010 18:42:01,193,1.0155,1.0156,1.0152,1.0157
04-11-2010 18:43:01,202,1.0155,1.0151,1.0147,1.0156
04-11-2010 18:44:01,364,1.0151,1.0154,1.0148,1.0157
04-11-2010 18:45:01,175,1.0155,1.015,1.0149,1.0157
04-11-2010 18:46:01,194,1.0154,1.0153,1.0149,1.0156
04-11-2010 18:47:01,135,1.0154,1.0153,1.015,1.0155
04-11-2010 18:48:01,189,1.0154,1.0151,1.0149,1.0155
04-11-2010 18:49:01,187,1.0151,1.0152,1.0148,1.0154
04-11-2010 18:50:01,156,1.0152,1.0153,1.0149,1.0155
04-11-2010 18:51:01,174,1.0153,1.0153,1.0147,1.0155
04-11-2010 18:52:01,156,1.0152,1.0151,1.0146,1.0154
04-11-2010 18:53:01,187,1.0151,1.0149,1.0144,1.0153
04-11-2010 18:54:01,179,1.0148,1.015,1.0145,1.0152
04-11-2010 18:55:01,225,1.015,1.0151,1.0146,1.0153
04-11-2010 18:56:01,232,1.015,1.0152,1.0148,1.0155
04-11-2010 18:57:01,163,1.0154,1.0151,1.0146,1.0155
04-11-2010 18:58:01,245,1.0151,1.0149,1.0145,1.0154
04-11-2010 18:59:01,308,1.015,1.0151,1.0147,1.0153
04-11-2010 19:00:01,207,1.0152,1.0151,1.0147,1.0155
04-11-2010 19:01:01,180,1.0152,1.0149,1.0145,1.0154
04-11-2010 19:02:01,193,1.015,1.0147,1.0143,1.0152
04-11-2010 19:03:01,161,1.0147,1.0145,1.0142,1.0149
04-11-2010 19:04:01,227,1.0145,1.0149,1.0144,1.0151
04-11-2010 19:05:01,221,1.0148,1.0152,1.0146,1.0154
04-11-2010 19:06:01,169,1.0153,1.0152,1.0147,1.0154
04-11-2010 19:07:01,295,1.0151,1.0149,1.0144,1.0154
04-11-2010 19:08:01,319,1.0149,1.0148,1.0143,1.0151
04-11-2010 19:09:01,258,1.0149,1.0149,1.0144,1.0151
04-11-2010 19:10:01,171,1.0147,1.0147,1.0143,1.0151
04-11-2010 19:11:01,159,1.0148,1.0145,1.0144,1.015
04-11-2010 19:12:01,231,1.0146,1.0143,1.014,1.0148
04-11-2010 19:13:01,211,1.0143,1.0142,1.0139,1.0146
04-11-2010 19:14:01,109,1.0143,1.0143,1.0137,1.0145
04-11-2010 19:15:01,283,1.0142,1.0145,1.0139,1.0149
04-11-2010 19:16:01,278,1.0146,1.0144,1.0142,1.015
04-11-2010 19:17:01,188,1.0145,1.0145,1.0141,1.0148
04-11-2010 19:18:01,240,1.0143,1.0148,1.0142,1.015
04-11-2010 19:19:01,221,1.0148,1.0145,1.0139,1.015
04-11-2010 19:20:01,179,1.0145,1.0146,1.014,1.0148
04-11-2010 19:21:01,126,1.0146,1.0146,1.0142,1.0149
04-11-2010 19:22:01,163,1.0145,1.0144,1.0142,1.0147
04-11-2010 19:23:01,191,1.0145,1.0144,1.0141,1.0148
04-11-2010 19:24:01,254,1.0141,1.0149,1.0141,1.0152
04-11-2010 19:25:01,204,1.0151,1.0148,1.0142,1.0152
04-11-2010 19:26:01,178,1.0148,1.0151,1.0143,1.0153
04-11-2010 19:27:01,256,1.0151,1.0151,1.0147,1.0154
04-11-2010 19:28:01,226,1.015,1.0152,1.0148,1.0155
04-11-2010 19:29:01,271,1.0151,1.0151,1.0147,1.0154
04-11-2010 19:30:01,275,1.0151,1.015,1.0147,1.0155
04-11-2010 19:31:01,319,1.0151,1.0147,1.0142,1.0151
04-11-2010 19:32:01,167,1.0147,1.0148,1.0144,1.015
04-11-2010 19:33:01,155,1.0148,1.0149,1.0144,1.0151
04-11-2010 19:34:01,166,1.0149,1.0149,1.0144,1.0151
04-11-2010 19:35:01,193,1.0149,1.0146,1.0146,1.0152
04-11-2010 19:36:01,130,1.0148,1.0147,1.0143,1.015
04-11-2010 19:37:01,233,1.0148,1.0152,1.0145,1.0153
04-11-2010 19:38:01,151,1.0152,1.015,1.0146,1.0153
04-11-2010 19:39:01,196,1.0149,1.0149,1.0144,1.0152
04-11-2010 19:40:01,181,1.0148,1.0149,1.0144,1.0151
04-11-2010 19:41:01,233,1.0148,1.015,1.0145,1.0153
04-11-2010 19:42:01,201,1.015,1.0147,1.0145,1.0154
04-11-2010 19:43:01,234,1.0151,1.0151,1.0147,1.0154
04-11-2010 19:44:01,162,1.0151,1.0152,1.0148,1.0154
04-11-2010 19:45:01,209,1.0152,1.0149,1.0148,1.0155
04-11-2010 19:46:01,262,1.015,1.0148,1.0144,1.0152
04-11-2010 19:47:01,265,1.0148,1.0144,1.0141,1.015
04-11-2010 19:48:01,291,1.0144,1.0146,1.0139,1.0149
04-11-2010 19:49:01,238,1.0147,1.0145,1.0143,1.015
04-11-2010 19:50:01,132,1.0145,1.0149,1.0145,1.0152
04-11-2010 19:51:01,127,1.015,1.0153,1.0146,1.0155
04-11-2010 19:52:01,358,1.015,1.0156,1.0149,1.016
04-11-2010 19:53:01,309,1.0156,1.0159,1.0152,1.0161
04-11-2010 19:54:01,165,1.0158,1.0158,1.0154,1.016
04-11-2010 19:55:01,177,1.0159,1.016,1.0155,1.0162
04-11-2010 19:56:01,247,1.0159,1.0162,1.0154,1.0164
04-11-2010 19:57:01,227,1.0161,1.0162,1.0156,1.0164
04-11-2010 19:58:01,224,1.0161,1.016,1.0156,1.0164
04-11-2010 19:59:01,233,1.016,1.016,1.0154,1.0163
04-11-2010 20:00:01,238,1.016,1.0161,1.0156,1.0163
04-11-2010 20:01:01,180,1.016,1.0161,1.0155,1.0164
04-11-2010 20:02:01,196,1.0161,1.016,1.0158,1.0164
04-11-2010 20:03:01,194,1.0161,1.016,1.0155,1.0164
04-11-2010 20:04:01,63,1.0162,1.0162,1.0156,1.0163
04-11-2010 20:05:01,73,1.0162,1.0161,1.0159,1.0163
04-11-2010 20:06:01,42,1.016,1.0161,1.0157,1.0162
04-11-2010 20:07:01,36,1.0161,1.016,1.0159,1.0162
04-11-2010 20:08:01,117,1.016,1.0161,1.0159,1.0162
04-11-2010 20:09:01,46,1.016,1.016,1.0157,1.0162
04-11-2010 20:10:01,188,1.016,1.0162,1.0156,1.0164
04-11-2010 20:11:01,270,1.0162,1.0162,1.0157,1.0165
04-11-2010 20:12:01,270,1.0162,1.0166,1.0158,1.0167
04-11-2010 20:13:01,432,1.0166,1.0167,1.016,1.017
04-11-2010 20:14:01,396,1.0167,1.017,1.0163,1.0173
04-11-2010 20:15:01,259,1.017,1.0169,1.0167,1.0173
04-11-2010 20:16:01,203,1.0169,1.0168,1.0164,1.0171
04-11-2010 20:17:01,262,1.0168,1.0167,1.0163,1.0172
04-11-2010 20:18:01,233,1.0169,1.0165,1.0163,1.0172
04-11-2010 20:19:01,172,1.0168,1.0171,1.0167,1.0174
04-11-2010 20:20:01,240,1.0172,1.0175,1.0167,1.0177
04-11-2010 20:21:01,258,1.0176,1.0171,1.0166,1.0177
04-11-2010 20:22:01,112,1.0171,1.0169,1.0166,1.0174
04-11-2010 20:23:01,68,1.0171,1.0172,1.0166,1.0173
04-11-2010 20:24:01,207,1.0172,1.0167,1.0164,1.0173
04-11-2010 20:25:01,266,1.0166,1.0165,1.016,1.0169
04-11-2010 20:26:01,214,1.0166,1.0163,1.016,1.0168
04-11-2010 20:27:01,194,1.0163,1.0163,1.0157,1.0166
04-11-2010 20:28:01,182,1.0162,1.0161,1.0156,1.0164
04-11-2010 20:29:01,156,1.0162,1.0161,1.0156,1.0164
04-11-2010 20:30:01,138,1.0162,1.0162,1.0154,1.0165
04-11-2010 20:31:01,156,1.0161,1.016,1.0153,1.0162
04-11-2010 20:32:01,202,1.0159,1.0153,1.0152,1.0162
04-11-2010 20:33:01,244,1.0157,1.0153,1.0149,1.0158
04-11-2010 20:34:01,198,1.0152,1.0151,1.0148,1.0155
04-11-2010 20:35:01,264,1.0152,1.0151,1.0146,1.0154
04-11-2010 20:36:01,220,1.015,1.015,1.0145,1.0153
04-11-2010 20:37:01,201,1.0149,1.0147,1.0143,1.0152
04-11-2010 20:38:01,86,1.0148,1.0147,1.0145,1.015
04-11-2010 20:39:01,184,1.0147,1.0142,1.0138,1.0149
04-11-2010 20:40:01,148,1.0142,1.0144,1.0139,1.0146
04-11-2010 20:41:01,151,1.0144,1.0141,1.0138,1.0147
